"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YKL211C","TRP3","TRP3",1.30746850712103,3.07047010694565,23.2125248831552,22.5893000261526,23.071610968372,23.0883858297415,23.2125248831552,22.5893000261526,23.071610968372,23.0883858297415,4,21.8156193932122,NA,21.7792448413538,21.9208529290718,21.8156193932122,21.2162305152994,21.7792448413538,21.9208529290718,3
"YAL036C","RBG1","RBG1",2.50947218082996,2.92024497314982,23.137336409474,23.8642912022994,24.2599024148956,23.9340010653639,23.137336409474,23.8642912022994,24.2599024148956,23.9340010653639,4,NA,NA,21.420083578282,21.3313412304259,21.2511011707526,21.1551163892525,21.420083578282,21.3313412304259,2
"YNR051C","BRE5","BRE5",1.40773110912682,2.91955267380083,23.7284777524165,24.0485154770708,24.4794502045766,24.4982619717808,23.7284777524165,24.0485154770708,24.4794502045766,24.4982619717808,4,22.7864219958412,23.0202698992759,22.9505587447089,22.3665303295114,22.7864219958412,23.0202698992759,22.9505587447089,22.3665303295114,4
"YJR144W","MGM101","MGM101",3.12111097262094,2.49858837364436,24.4266240976922,24.1510468970653,24.6135237574314,24.4461958422036,24.4266240976922,24.1510468970653,24.6135237574314,24.4461958422036,4,NA,22.4739009190683,NA,NA,20.9944379765019,22.4739009190683,20.7586347892748,20.9259730190637,1
"YJL080C","SCP160","SCP160",1.30603168149529,2.39823176502795,26.6170882908283,26.5295912845065,26.570786259236,26.6371318438905,26.6170882908283,26.5295912845065,26.570786259236,26.6371318438905,4,24.872627916777,25.1534069924599,25.4781543983323,25.6262816449109,24.872627916777,25.1534069924599,25.4781543983323,25.6262816449109,4
"YMR080C","NAM7","NAM7",1.47427629599867,2.20431783489928,28.9792378207155,28.8198856428227,29.324422609197,28.9225234297212,28.9792378207155,28.8198856428227,29.324422609197,28.9225234297212,4,27.9958802123228,27.9531038181047,26.9512704837667,27.2487098042675,27.9958802123228,27.9531038181047,26.9512704837667,27.2487098042675,4
"YOR198C","BFR1","BFR1",3.4233060608792,2.19306124691676,26.0512982381569,25.3514444997464,25.5189635660851,25.4680566998255,26.0512982381569,25.3514444997464,25.5189635660851,25.4680566998255,4,NA,NA,22.6959996562617,23.4739504502607,21.5104926930225,21.016095960752,22.6959996562617,23.4739504502607,2
"YHR216W;YAR073W;YAR075W","IMD2","IMD2",1.97269674519013,1.62002310173055,24.7827679079175,23.1600332752128,23.3116053136127,24.9614189586838,24.7827679079175,23.1600332752128,23.3116053136127,24.9614189586838,4,22.0788427012574,21.9630696346389,22.0021639817872,22.2809621569829,22.0788427012574,21.9630696346389,22.0021639817872,22.2809621569829,4
"YER073W","ALD5","ALD5",1.62919478256153,1.6119305098454,23.6117803870644,23.1952790800087,23.5733457810163,23.7801664736137,23.6117803870644,23.1952790800087,23.5733457810163,23.7801664736137,4,NA,NA,22.755949479886,22.4706032722949,21.0707111539033,21.3465286853726,22.755949479886,22.4706032722949,2
"YLR216C","CPR6","CPR6",1.70644050713481,1.51521099580426,23.1473092827882,23.0966604708223,22.7553383065371,23.7492941420047,23.1473092827882,23.0966604708223,22.7553383065371,23.7492941420047,4,NA,NA,22.8894088960304,NA,21.2555004428358,21.0522672275587,22.8894088960304,20.7256636071882,1
