bait,prey,complex,n_complex
Dib1,Prp18,U4/U6 x U5 tri-snRNP complex,28
Dib1,Prp3,U4/U6 x U5 tri-snRNP complex,28
Dib1,Prp31,U4/U6 x U5 tri-snRNP complex,28
Dib1,Prp38,U4/U6 x U5 tri-snRNP complex,28
Dib1,Prp4,U4/U6 x U5 tri-snRNP complex,28
Dib1,Prp6,U4/U6 x U5 tri-snRNP complex,28
Dib1,Prp8,U4/U6 x U5 tri-snRNP complex,28
Dib1,Smb1,U4/U6 x U5 tri-snRNP complex,28
Dib1,Smd1,U4/U6 x U5 tri-snRNP complex,28
Dib1,Smd2,U4/U6 x U5 tri-snRNP complex,28
Dib1,Smd3,U4/U6 x U5 tri-snRNP complex,28
Dib1,Sme1,U4/U6 x U5 tri-snRNP complex,28
Dib1,Smx2,U4/U6 x U5 tri-snRNP complex,28
Dib1,Smx3,U4/U6 x U5 tri-snRNP complex,28
Dib1,Snu114,U4/U6 x U5 tri-snRNP complex,28
Dib1,Snu13,U4/U6 x U5 tri-snRNP complex,28
Dib1,Snu23,U4/U6 x U5 tri-snRNP complex,28
Dib1,Snu66,U4/U6 x U5 tri-snRNP complex,28
Dib1,Spp381,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Brr2,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Dib1,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp18,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp3,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp31,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp38,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp4,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp6,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Prp8,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Smb1,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Smd1,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Smd2,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Smd3,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Sme1,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Smx2,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Smx3,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Snu114,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Snu13,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Snu23,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Snu66,U4/U6 x U5 tri-snRNP complex,28
Lsm2,Spp381,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Brr2,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Dib1,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp18,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp3,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp31,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp38,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp4,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp6,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Prp8,U4/U6 x U5 tri-snRNP complex,28
Lsm3,Smb1,U4/U6 x U5 tri-snRNP complex,28
