bait,prey,complex,n_complex
Sme1,Snu114,U4/U6 x U5 tri-snRNP complex,28
Sme1,Snu13,U4/U6 x U5 tri-snRNP complex,28
Sme1,Snu23,U4/U6 x U5 tri-snRNP complex,28
Sme1,Snu66,U4/U6 x U5 tri-snRNP complex,28
Sme1,Spp381,U4/U6 x U5 tri-snRNP complex,28
Smx2,Brr2,U4/U6 x U5 tri-snRNP complex,28
Smx2,Dib1,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Smx2,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp18,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp3,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp31,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp38,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp4,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp6,U4/U6 x U5 tri-snRNP complex,28
Smx2,Prp8,U4/U6 x U5 tri-snRNP complex,28
Smx2,Smb1,U4/U6 x U5 tri-snRNP complex,28
Smx2,Smd1,U4/U6 x U5 tri-snRNP complex,28
Smx2,Smd2,U4/U6 x U5 tri-snRNP complex,28
Smx2,Smd3,U4/U6 x U5 tri-snRNP complex,28
Smx2,Sme1,U4/U6 x U5 tri-snRNP complex,28
Smx2,Smx3,U4/U6 x U5 tri-snRNP complex,28
Smx2,Snu114,U4/U6 x U5 tri-snRNP complex,28
Smx2,Snu13,U4/U6 x U5 tri-snRNP complex,28
Smx2,Snu23,U4/U6 x U5 tri-snRNP complex,28
Smx2,Snu66,U4/U6 x U5 tri-snRNP complex,28
Smx2,Spp381,U4/U6 x U5 tri-snRNP complex,28
Smx3,Brr2,U4/U6 x U5 tri-snRNP complex,28
Smx3,Dib1,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Smx3,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp18,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp3,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp31,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp38,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp4,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp6,U4/U6 x U5 tri-snRNP complex,28
Smx3,Prp8,U4/U6 x U5 tri-snRNP complex,28
Smx3,Smb1,U4/U6 x U5 tri-snRNP complex,28
Smx3,Smd1,U4/U6 x U5 tri-snRNP complex,28
Smx3,Smd2,U4/U6 x U5 tri-snRNP complex,28
Smx3,Smd3,U4/U6 x U5 tri-snRNP complex,28
Smx3,Sme1,U4/U6 x U5 tri-snRNP complex,28
Smx3,Smx2,U4/U6 x U5 tri-snRNP complex,28
Smx3,Snu114,U4/U6 x U5 tri-snRNP complex,28
Smx3,Snu13,U4/U6 x U5 tri-snRNP complex,28
Smx3,Snu23,U4/U6 x U5 tri-snRNP complex,28
Smx3,Snu66,U4/U6 x U5 tri-snRNP complex,28
Smx3,Spp381,U4/U6 x U5 tri-snRNP complex,28
Snu114,Brr2,U4/U6 x U5 tri-snRNP complex,28
Snu114,Dib1,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Snu114,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp18,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp3,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp31,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp38,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp4,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp6,U4/U6 x U5 tri-snRNP complex,28
Snu114,Prp8,U4/U6 x U5 tri-snRNP complex,28
Snu114,Smb1,U4/U6 x U5 tri-snRNP complex,28
Snu114,Smd1,U4/U6 x U5 tri-snRNP complex,28
Snu114,Smd2,U4/U6 x U5 tri-snRNP complex,28
Snu114,Smd3,U4/U6 x U5 tri-snRNP complex,28
Snu114,Sme1,U4/U6 x U5 tri-snRNP complex,28
Snu114,Smx2,U4/U6 x U5 tri-snRNP complex,28
Snu114,Smx3,U4/U6 x U5 tri-snRNP complex,28
Snu114,Snu13,U4/U6 x U5 tri-snRNP complex,28
Snu114,Snu23,U4/U6 x U5 tri-snRNP complex,28
Snu114,Snu66,U4/U6 x U5 tri-snRNP complex,28
Snu114,Spp381,U4/U6 x U5 tri-snRNP complex,28
Snu13,Brr2,U4/U6 x U5 tri-snRNP complex,28
Snu13,Dib1,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Snu13,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Snu13,Prp18,U4/U6 x U5 tri-snRNP complex,28
Snu13,Prp3,U4/U6 x U5 tri-snRNP complex,28
Snu13,Prp31,U4/U6 x U5 tri-snRNP complex,28
Snu13,Prp38,U4/U6 x U5 tri-snRNP complex,28
Snu13,Prp4,U4/U6 x U5 tri-snRNP complex,28
Snu13,Prp6,U4/U6 x U5 tri-snRNP complex,28
