source,target,Functionality
Mtr4,Rps2,Multiple
Mtr4,Nop15,Multiple
Mtr4,Pre5,Multiple
Mtr4,Erb1,Multiple
Mtr4,Nop8,Multiple
Mtr4,Gga2,Multiple
Mtr4,Dbp8,Multiple
Mtr4,Cct7,Multiple
Mtr4,Ade12,Multiple
Mtr4,Cdc14,Multiple
Mtr4,Bre5,Multiple
Mtr4,Csr1,Multiple
Mtr4,Lys20,Multiple
Mtr4,Utp8,Multiple
Mtr4,Kre33,Multiple
Mtr4,Xrn1,Multiple
Mtr4,Utp10,Multiple
Mtr4,Spf1,Multiple
Mtr4,Pwp2,Multiple
Mtr4,Dug1,Multiple
Mtr4,Nhp2,Multiple
Mtr4,Sec61,Multiple
Mtr4,Rsc58,Multiple
Mtr4,Rpl15a,Multiple
Mtr4,Utp11,Multiple
Mtr4,Emg1,Multiple
Mtr4,Nup188,Multiple
Mtr4,Nop13,Multiple
Mtr4,Hrp1,Multiple
Mtr4,Utp20,Multiple
Mtr4,Tma22,Multiple
Mtr4,Sro9,Multiple
Mtr4,Enp2,Multiple
Mtr4,Nmd3,Multiple
Mtr4,Srv2,Multiple
Mtr4,Rrp9,Multiple
Mtr4,Bms1,Multiple
Mtr4,Nat1,Multiple
Mtr4,Idp1,Multiple
Mtr4,Noc4,Multiple
Mtr4,Sth1,Multiple
Mtr4,Gly1,Multiple
Mtr4,Cct2,Multiple
Mtr4,Nop53,Multiple
Mtr4,Rfc5,Multiple
Mtr4,Rrp12,Multiple
Mtr4,Tcb3,Multiple
Mtr4,Rpl18a,Multiple
Mtr4,Rsm26,Multiple
Mtr4,Rpl43a,Multiple
Mtr4,YPL225W,Multiple
Lsm2,Brr2,Multiple
Lsm2,Lsm6,Multiple
Lsm2,Lsm4,Multiple
Lsm2,Enp1,Multiple
Lsm2,Lsm8,Multiple
Lsm2,Lsm3,Multiple
Lsm2,Bcs1,Multiple
Lsm2,Lsm1,Multiple
Lsm2,Smd2,Multiple
Lsm2,Prp3,Multiple
Lsm2,Lsm7,Multiple
Lsm2,Prp31,Multiple
Lsm2,Tcp1,Multiple
Lsm2,Snu114,Multiple
Lsm2,Prp24,Multiple
Lsm2,Pat1,Multiple
Lsm2,Prp4,Multiple
Lsm2,Sup45,Multiple
Lsm2,Cad1,Multiple
Lsm2,Lsm5,Multiple
Lsm2,Prp38,Multiple
Lsm2,Rpg1,Multiple
Lsm2,Snu23,Multiple
Lsm2,Pet123,Multiple
Lsm2,Gpx2,Multiple
Lsm2,Mrps9,Multiple
Lsm2,Prp8,Multiple
Lsm2,Gcd1,Multiple
Lsm2,Csr1,Multiple
Lsm2,Mrp13,Multiple
Lsm2,Mir1,Multiple
Lsm2,Pdc1,Multiple
Lsm2,Nab3,Multiple
Lsm2,Hog1,Multiple
Lsm2,Mrps16,Multiple
Lsm2,Gfa1,Multiple
Lsm2,Smb1,Multiple
Lsm2,Hgh1,Multiple
Lsm2,Mrpl23,Multiple
Lsm2,Mrps17,Multiple
Lsm2,Mrpl3,Multiple
Lsm2,Ade12,Multiple
Lsm2,Cpa2,Multiple
Lsm2,Lys20,Multiple
Lsm2,Prs3,Multiple
Lsm2,Prp6,Multiple
Lsm2,Dim1,Multiple
Lsm2,Rpa43,Multiple
Lsm2,Mrps28,Multiple
Lsm2,Prs4,Multiple
Lsm2,Spp381,Multiple
Lsm2,Snu66,Multiple
Lsm2,Tub1,Multiple
Lsm2,Nam9,Multiple
Lsm2,Mtr4,Multiple
Lsm2,YPL225W,Multiple
Snp1,Snu56,Splicing
Snp1,Snu71,Splicing
Snp1,Luc7,Splicing
Snp1,Yhc1,Splicing
Snp1,Mud1,Splicing
Snp1,Prp40,Splicing
Snp1,Smd3,Splicing
Snp1,Smb1,Splicing
Snp1,Smd1,Splicing
Snp1,Nam8,Splicing
Snp1,Smd2,Splicing
Snp1,Prp42,Splicing
Snp1,Prp39,Splicing
Snp1,Rsm26,Splicing
Snp1,Cad1,Splicing
Snp1,Rpc82,Splicing
Snp1,Hrp1,Splicing
Snp1,Rps26b,Splicing
Snp1,Trm1,Splicing
Rpo21,Rpb4,Synthesis
Rpo21,Rpb10,Synthesis
Rpo21,Tfg1,Synthesis
Rpo21,Rpb7,Synthesis
Rpo21,Rpb11,Synthesis
Rpo21,Rpb2,Synthesis
Rpo21,Rpb3,Synthesis
Rpo21,Rpo26,Synthesis
Rpo21,Rpc10,Synthesis
Rpo21,Tfg2,Synthesis
Rpo21,Rpb5,Synthesis
Rpo21,Rpb8,Synthesis
Rpo21,Rps13,Synthesis
Rpo21,Cdc39,Synthesis
Rpo21,Kre33,Synthesis
Rpo21,Spt5,Synthesis
Rpo21,Sec7,Synthesis
Rpo21,Taf14,Synthesis
Rpo21,Erb1,Synthesis
Rpo21,Hhf2,Synthesis
Rpo21,Sec26,Synthesis
Rpo21,Dbp9,Synthesis
Rpo21,Bud27,Synthesis
Rpo21,Rpl5,Synthesis
Rpo21,Rlp7,Synthesis
Rpo21,Net1,Synthesis
Rpo21,Mkt1,Synthesis
Rpo21,Sec27,Synthesis
Rpo21,Hog1,Synthesis
Rpo21,Rtr1,Synthesis
Rpo21,Aha1,Synthesis
Rpo21,Rpb9,Synthesis
Hsh49,Rse1,Splicing
Hsh49,Ilv1,Splicing
Hsh49,Hsh155,Splicing
Hsh49,Rds3,Splicing
Hsh49,Svl3,Splicing
Hsh49,Cap1,Splicing
Hsh49,Erg1,Splicing
Hsh49,Age2,Splicing
Hsh49,Gcv2,Splicing
Hsh49,Ape1,Splicing
Hsh49,Hhf2,Splicing
Hsh49,Rpt1,Splicing
Hsh49,Rpb5,Splicing
Hsh49,Nab3,Splicing
Hsh49,Acs2,Splicing
Hsh49,Brx1,Splicing
Hsh49,Rpc82,Splicing
Hsh49,Fmp52,Splicing
Hsh49,Cus1,Splicing
Hsh49,Nam7,Splicing
Hsh49,Trm1,Splicing
Hsh49,YHR214C-B,Splicing
Hsh49,YMR315W,Splicing
Rpb7,Rpb3,Synthesis
Rpb7,Rpb4,Synthesis
Rpb7,Rpb10,Synthesis
Rpb7,Rpb11,Synthesis
Rpb7,Rpo26,Synthesis
Rpb7,Rpb2,Synthesis
Rpb7,Tfg1,Synthesis
Rpb7,Rpb9,Synthesis
Rpb7,Rpc10,Synthesis
Rpb7,Rpb5,Synthesis
Rpb7,Tfg2,Synthesis
Rpb7,Rpo21,Synthesis
Rpb7,Rpb8,Synthesis
Rpb7,Pse1,Synthesis
Rpb7,Spt5,Synthesis
Rpb7,Spt6,Synthesis
Rpb7,Taf14,Synthesis
Rpb7,Yra2,Synthesis
Rpb7,Tma20,Synthesis
Rpb7,Bcs1,Synthesis
Rpb7,Arp2,Synthesis
Rpb7,YHR214C-B,Synthesis
Sto1,Prp40,Splicing
Sto1,Iki1,Splicing
Sto1,Snp1,Splicing
Sto1,Luc7,Splicing
Sto1,Nrd1,Splicing
Sto1,Mud1,Splicing
Sto1,Cbc2,Splicing
Sto1,Yhc1,Splicing
Sto1,Brr2,Splicing
Sto1,Snu71,Splicing
Sto1,Cwc2,Splicing
Sto1,Prp6,Splicing
Sto1,Syf1,Splicing
Sto1,Snu56,Splicing
Sto1,Clf1,Splicing
Sto1,Cus1,Splicing
Sto1,Prp42,Splicing
Sto1,Erg1,Splicing
Sto1,Nam8,Splicing
Sto1,Prp8,Splicing
Sto1,Cef1,Splicing
Sto1,Nab3,Splicing
Sto1,Prp21,Splicing
Sto1,Prp31,Splicing
Sto1,Prp45,Splicing
Sto1,Snu114,Splicing
Sto1,Erg26,Splicing
Sto1,Elp6,Splicing
Sto1,Fpr3,Splicing
Sto1,Ecm2,Splicing
Sto1,Snu23,Splicing
Sto1,Prp19,Splicing
Sto1,Pap2,Splicing
Sto1,Isy1,Splicing
Sto1,Smb1,Splicing
Sto1,Hsh155,Splicing
Sto1,Smd1,Splicing
Sto1,Cwc22,Splicing
Sto1,Rse1,Splicing
Sto1,Srp1,Splicing
Sto1,Ald4,Splicing
Sto1,Prp4,Splicing
Sto1,Cad1,Splicing
Sto1,Smd2,Splicing
Sto1,Prp39,Splicing
Sto1,Air2,Splicing
Sto1,Ara1,Splicing
Sto1,Smd3,Splicing
Sto1,Gde1,Splicing
Sto1,Pnc1,Splicing
Sgn1,Ura2,Multiple
Sgn1,Hog1,Multiple
Sgn1,Tpd3,Multiple
Sgn1,Nup133,Multiple
Sgn1,Gfa1,Multiple
Sgn1,Rnr3,Multiple
Sgn1,Gpp2,Multiple
Sgn1,Ape1,Multiple
Sgn1,Rnr2,Multiple
Sgn1,Gcv2,Multiple
Sgn1,Mri1,Multiple
Sgn1,Ilv1,Multiple
Sgn1,Hsp42,Multiple
Sgn1,Gsy1,Multiple
Sgn1,Apl6,Multiple
Sgn1,Nip7,Multiple
Sgn1,Rnr4,Multiple
Sgn1,Anb1,Multiple
Sgn1,Oxp1,Multiple
Sgn1,Tdh1,Multiple
Sgn1,Gcv1,Multiple
Sgn1,Car2,Multiple
Sgn1,Hxk1,Multiple
Sgn1,Aim17,Multiple
Sgn1,Bro1,Multiple
Sgn1,Bem4,Multiple
Sgn1,Ade17,Multiple
Sgn1,YGR250C,Multiple
Sgn1,YKL033W-A,Multiple
Rrp40,Ski6,Degradation
Rrp40,Rrp46,Degradation
Rrp40,Lrp1,Degradation
Rrp40,Mpp6,Degradation
Rrp40,Mtr3,Degradation
Rrp40,Csl4,Degradation
Rrp40,Rrp45,Degradation
Rrp40,Mtr4,Degradation
Rrp40,Ecm16,Degradation
Rrp40,Rrp4,Degradation
Rrp40,Rrp42,Degradation
Rrp40,Dis3,Degradation
Rrp40,Rpp2a,Degradation
Rrp40,Utp20,Degradation
Rrp40,Rrp43,Degradation
Rrp40,Rpp1b,Degradation
Rrp40,Emg1,Degradation
Rrp40,Tma19,Degradation
Rrp40,Rrp6,Degradation
Rrp40,Nop53,Degradation
Rrp40,Cpr6,Degradation
Rrp40,Ski3,Degradation
Rrp40,Vtc1,Degradation
Rrp40,Ski7,Degradation
Rrp40,Dip2,Degradation
Dhh1,Pat1,Multiple
Dhh1,Lsm1,Multiple
Dhh1,Lsm4,Multiple
Dhh1,Lsm7,Multiple
Dhh1,Dcp1,Multiple
Dhh1,Lsm2,Multiple
Dhh1,Rpm2,Multiple
Dhh1,Ufd4,Multiple
Dhh1,Nmd4,Multiple
Dhh1,Nam7,Multiple
Dhh1,Lsm3,Multiple
Dhh1,Pwp2,Multiple
Dhh1,Tor1,Multiple
Dhh1,Vtc1,Multiple
Dhh1,Bro1,Multiple
Dhh1,Bms1,Multiple
Dhh1,Fpr3,Multiple
Dhh1,Rpb8,Multiple
Dhh1,Sro9,Multiple
Dhh1,Mon2,Multiple
Dhh1,Ecm16,Multiple
Dhh1,Vma13,Multiple
Dhh1,Mrpl22,Multiple
Dhh1,Hmo1,Multiple
Dhh1,Hrr25,Multiple
Dhh1,Kog1,Multiple
Dhh1,Brr2,Multiple
Dhh1,Mrpl17,Multiple
Dhh1,Rsc9,Multiple
Dhh1,Rps29a,Multiple
Dhh1,Gin4,Multiple
Dhh1,Fun30,Multiple
Dhh1,Tpd3,Multiple
Dhh1,Ebs1,Multiple
Dhh1,Edc3,Multiple
Dhh1,Utp20,Multiple
Dhh1,Rps2,Multiple
Dhh1,Fpr1,Multiple
Dhh1,Ssd1,Multiple
Dhh1,Nop4,Multiple
Dhh1,Mrpl7,Multiple
Dhh1,Ccr4,Multiple
Dhh1,Rrg8,Multiple
Dhh1,Hxk1,Multiple
Dhh1,Glk1,Multiple
Dhh1,Mdn1,Multiple
Dhh1,Pbp4,Multiple
Dhh1,Hhf2,Multiple
Dhh1,Sac6,Multiple
Dhh1,Rpl18a,Multiple
Dhh1,Mdj1,Multiple
Dhh1,Ils1,Multiple
Dhh1,Mrpl15,Multiple
Dhh1,Gsp1,Multiple
Dhh1,Atp2,Multiple
Dhh1,Tif11,Multiple
Dhh1,Xrn1,Multiple
Dhh1,Gyp5,Multiple
Dhh1,Npa3,Multiple
Dhh1,Cof1,Multiple
Dhh1,Rvs161,Multiple
Dhh1,Pro3,Multiple
Dhh1,Dcp2,Multiple
Dhh1,Ade2,Multiple
Dhh1,Kes1,Multiple
Dhh1,Hsp82,Multiple
Dhh1,Trx1,Multiple
Dhh1,Ski3,Multiple
Dhh1,Ecm29,Multiple
Dhh1,Yop1,Multiple
Dhh1,Mir1,Multiple
Dhh1,Atp1,Multiple
Dhh1,YLR419W,Multiple
Dhh1,YNR021W,Multiple
Dis3,Rrp42,Degradation
Dis3,Csl4,Degradation
Dis3,Lrp1,Degradation
Dis3,Mtr3,Degradation
Dis3,Mtr4,Degradation
Dis3,Rrp46,Degradation
Dis3,Ski6,Degradation
Dis3,Rrp45,Degradation
Dis3,Utp22,Degradation
Dis3,Rpt6,Degradation
Dis3,Rps29a,Degradation
Dis3,Utp21,Degradation
Dis3,Utp5,Degradation
Dis3,Emg1,Degradation
Dis3,Sis1,Degradation
Dis3,Rpp2b,Degradation
Dis3,Ura5,Degradation
Dis3,Abf2,Degradation
Dis3,Trr1,Degradation
Dis3,Gln1,Degradation
Dis3,Cpr1,Degradation
Dis3,Tma22,Degradation
Dis3,Ilv1,Degradation
Dis3,Vtc1,Degradation
Dis3,Ski8,Degradation
Dis3,Atp2,Degradation
Dis3,Tub2,Degradation
Dis3,Erg1,Degradation
Dis3,His4,Degradation
Dis3,Utp6,Degradation
Dis3,Bms1,Degradation
Dis3,Rpb8,Degradation
Dis3,Gua1,Degradation
Dis3,Thr4,Degradation
Dis3,Rpt2,Degradation
Dis3,Erg20,Degradation
Dis3,Atp1,Degradation
