"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043233","organelle lumen","25/34","156/653",4.12052009495356e-10,2.3006237196824e-09,1.59037617699962e-09,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RLP7/NET1/MKT1/RPB9",25
"GO:0070013","intracellular organelle lumen","25/34","156/653",4.12052009495356e-10,2.3006237196824e-09,1.59037617699962e-09,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RLP7/NET1/MKT1/RPB9",25
"GO:0005634","nucleus","29/34","276/653",1.44827105938783e-07,7.46416622915269e-07,5.1598321144182e-07,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/CDC39/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RPL5/RLP7/NET1/MKT1/HOG1/RTR1/RPB9",29
"GO:1902494","catalytic complex","15/34","95/653",1.71330815186434e-05,8.19940329820792e-05,5.6680871189497e-05,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0005730","nucleolus","12/34","69/653",6.36465640774358e-05,0.000284287986212546,0.000196522724168924,"RPB10/RPO26/RPC10/RPB5/RPB8/RPS13/KRE33/ERB1/DBP9/RLP7/NET1/RPB9",12
"GO:0005736","RNA polymerase I complex","5/34","11/653",0.00010502225047206,0.000439780673851752,0.00030401177768228,"RPB10/RPO26/RPC10/RPB5/RPB8",5
"GO:0043227","membrane-bounded organelle","32/34","437/653",0.000134289182489203,0.000499854179265366,0.000345539416931282,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/CDC39/KRE33/SPT5/SEC7/TAF14/ERB1/HHF2/HHF1/SEC26/DBP9/RPL5/RLP7/NET1/MKT1/SEC27/HOG1/RTR1/RPB9",32
"GO:0043231","intracellular membrane-bounded organelle","32/34","437/653",0.000134289182489203,0.000499854179265366,0.000345539416931282,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/CDC39/KRE33/SPT5/SEC7/TAF14/ERB1/HHF2/HHF1/SEC26/DBP9/RPL5/RLP7/NET1/MKT1/SEC27/HOG1/RTR1/RPB9",32
"GO:0000932","P-body","4/34","11/653",0.00156652370602906,0.00552405727915509,0.00381867274599881,"RPB4/RPB7/CDC39/MKT1",4
"GO:0032991","protein-containing complex","28/34","387/653",0.00303035170687233,0.0101516782180223,0.00701765658433593,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/CDC39/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/SEC26/RPL5/RLP7/NET1/MKT1/SEC27/RPB9",28
"GO:0043228","non-membrane-bounded organelle","23/34","316/653",0.0160884629198855,0.0489966825287422,0.0338704482523905,"RPB4/RPB10/RPB7/RPB2/RPO26/RPC10/RPO21/RPB5/RPB8/RPS13/CDC39/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RPL5/RLP7/NET1/MKT1/RPB9",23
"GO:0043232","intracellular non-membrane-bounded organelle","23/34","316/653",0.0160884629198855,0.0489966825287422,0.0338704482523905,"RPB4/RPB10/RPB7/RPB2/RPO26/RPC10/RPO21/RPB5/RPB8/RPS13/CDC39/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RPL5/RLP7/NET1/MKT1/RPB9",23
