"Protein.IDs","my_label","Gene.names","difference_YKAF020_YKAF000","log10.pvalue_YKAF020_YKAF000","log2.LFQ.intensity.YKAF020_02","log2.LFQ.intensity.YKAF020_03","log2.LFQ.intensity.YKAF020_04","imputed.log2.LFQ.intensity.YKAF020_02","imputed.log2.LFQ.intensity.YKAF020_03","imputed.log2.LFQ.intensity.YKAF020_04","value_count_YKAF020","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","value_count_YKAF000"
"YIL061C","SNP1","SNP1",-1.49319399604285,2.77549445664257,NA,NA,NA,24.3248657818299,23.8925567140332,23.8961110246394,0,25.7337100758396,25.3462115277342,25.6172564763077,25.4269759316266,25.7337100758396,25.3462115277342,25.6172564763077,25.4269759316266,4
"YMR196W","YMR196W","YMR196W",-1.74182205761716,2.77436750202688,25.0738594627771,25.5568975135536,24.9903179816597,25.0738594627771,25.5568975135536,24.9903179816597,3,27.0859816544991,27.0285472056947,27.0839548277526,26.5969044865093,27.0859816544991,27.0285472056947,27.0839548277526,26.5969044865093,4
"YOR043W","WHI2","WHI2",-3.47384666477149,2.75198677593601,NA,NA,NA,23.3977103897197,23.5351532170581,22.9352334944579,0,26.8556684549649,26.7267640601412,26.6661427188667,26.8042742267607,26.8556684549649,26.7267640601412,26.6661427188667,26.8042742267607,4
"YHR087W","RTC3","RTC3",-2.31076804594697,2.73137566280423,NA,NA,NA,23.8003616047821,24.1934817403965,23.3423589887646,0,26.5793147865323,25.9540917411456,25.7917616583417,26.032840443026,26.5793147865323,25.9540917411456,25.7917616583417,26.032840443026,4
"YDR055W","PST1","PST1",-1.19280705510152,2.72428647853152,25.4772898804546,25.4246714598567,25.4883351669034,25.4772898804546,25.4246714598567,25.4883351669034,3,26.9540473546261,26.5428294917641,26.7354413669448,26.3926386833572,26.9540473546261,26.5428294917641,26.7354413669448,26.3926386833572,4
"YLR231C","BNA5","BNA5",-1.4310844104499,2.70526184197925,27.4864643447432,27.68458469806,27.1695910871499,27.4864643447432,27.68458469806,27.1695910871499,3,29.3822231057229,28.9451424885125,28.6627857594578,28.5217064613773,29.3822231057229,28.9451424885125,28.6627857594578,28.5217064613773,4
"YNL015W","PBI2","PBI2",-1.25679046363719,2.58574053171516,26.6274232268959,26.6790902418646,26.211077009059,26.6274232268959,26.6790902418646,26.211077009059,3,27.4561494608828,27.9247334148975,27.8634288797935,27.8063040694008,27.4561494608828,27.9247334148975,27.8634288797935,27.8063040694008,4
"YLR356W","ATG33","ATG33",-2.72179010582794,2.58310154325038,NA,NA,NA,23.517011769108,23.9918271757978,23.0689277710461,0,26.570930986077,26.2563611749398,26.26399008346,25.8995671334375,26.570930986077,26.2563611749398,26.26399008346,25.8995671334375,4
"YBR230C","OM14","OM14",-1.27071725878293,2.55006844806731,26.8840186276832,26.3705100885523,26.8112743356065,26.8840186276832,26.3705100885523,26.8112743356065,3,28.13423115996,27.5820459392213,28.1560044342115,27.9649915708616,28.13423115996,27.5820459392213,28.1560044342115,27.9649915708616,4
"YLR097C","HRT3","HRT3",-1.62106092621925,2.46231202546702,NA,NA,NA,24.1161683504003,23.6406518868186,23.4077241754158,0,25.2510058663347,25.2822779618452,25.9651897901502,24.8718293033933,25.2510058663347,25.2822779618452,25.9651897901502,24.8718293033933,4
"YDL165W","CDC36","CDC36",-2.40439497984598,2.42815308910633,NA,NA,NA,23.9783827399285,23.6446144114283,23.0749704022059,0,25.6680110917256,26.1976617003357,25.819946532731,26.1959173326753,25.6680110917256,26.1976617003357,25.819946532731,26.1959173326753,4
"YFR033C","QCR6","QCR6",-1.25512770389518,2.42069757553085,25.3777917094985,25.7615703041641,25.1823028095522,25.3777917094985,25.7615703041641,25.1823028095522,3,27.1804449121613,26.5554061744104,26.62784065325,26.4190388400453,27.1804449121613,26.5554061744104,26.62784065325,26.4190388400453,4
"YOR278W","HEM4","HEM4",-1.04574708319229,2.41804114097863,26.1286476222702,25.9411396895265,26.0774294063018,26.1286476222702,25.9411396895265,26.0774294063018,3,27.4277432716039,27.1827195599181,26.6891252582636,27.0796892004481,27.4277432716039,27.1827195599181,26.6891252582636,27.0796892004481,4
"YLR454W","FMP27","FMP27",-3.58007526229486,2.24930083588703,NA,NA,NA,23.8922252061977,24.3409202196339,22.9555759111417,0,27.7481682758591,27.3032145485716,26.9073592295377,27.2798541111754,27.7481682758591,27.3032145485716,26.9073592295377,27.2798541111754,4
"YMR250W","GAD1","GAD1",-1.55979254918492,2.23399893924466,26.141587204687,26.0882685471612,26.1731227781201,26.141587204687,26.0882685471612,26.1731227781201,3,28.2505632096103,27.600169949296,27.7667979015076,27.1589438429504,28.2505632096103,27.600169949296,27.7667979015076,27.1589438429504,4
"YMR222C","FSH2","FSH2",-2.43567249389629,2.2335035025992,NA,NA,NA,23.8552875296407,23.7795468625392,23.0674183055233,0,26.1507758193347,26.076165636511,26.0208336532085,25.7645851301353,26.1507758193347,26.076165636511,26.0208336532085,25.7645851301353,4
"YBR242W","YBR242W","YBR242W",-1.13347043077454,2.20709328885965,26.5030633625519,27.0682521470214,26.7712762676745,26.5030633625519,27.0682521470214,26.7712762676745,3,28.1725506584666,27.9792378207155,27.7242938026299,27.7812551442833,28.1725506584666,27.9792378207155,27.7242938026299,27.7812551442833,4
"YLR312W-A","MRPL15","MRPL15",-2.40085877298146,2.19530703898536,NA,NA,NA,24.0903629391526,23.5239503692492,23.1515795165097,0,25.7635977717934,26.2681019074482,25.9686652113659,25.9575939678671,25.7635977717934,26.2681019074482,25.9686652113659,25.9575939678671,4
"YDR339C","FCF1","FCF1",-2.97472006100418,2.19475787058025,NA,NA,NA,23.7464224021061,23.1455032528339,22.8125973592509,0,26.3479692220573,26.2488183619219,26.0753293092739,26.1661273696848,26.3479692220573,26.2488183619219,26.0753293092739,26.1661273696848,4
"YBR006W","UGA2","UGA2",-1.11468257916324,2.15825712911943,25.7229138186383,26.0300218156334,26.2971386373966,25.7229138186383,26.0300218156334,26.2971386373966,3,27.4239826046609,27.3393461798603,26.5830508514751,27.1791163762145,27.4239826046609,27.3393461798603,26.5830508514751,27.1791163762145,4
"YGL037C","PNC1","PNC1",-1.13191498593512,2.14926297416095,30.023664984315,30.0650961340952,29.6830958917148,30.023664984315,30.0650961340952,29.6830958917148,3,31.02769071358,31.1212696045053,31.1078664057867,30.9666425667018,31.02769071358,31.1212696045053,31.1078664057867,30.9666425667018,4
"YER062C","GPP2","GPP2",-1.28531319181019,2.13843135831355,30.3150568733195,30.3046512140901,29.9009550906665,30.3150568733195,30.3046512140901,29.9009550906665,3,31.407808475648,31.3778765003745,31.5325500229297,31.5172353390566,31.407808475648,31.3778765003745,31.5325500229297,31.5172353390566,4
"YPR160W","GPH1","GPH1",-1.30464941616292,2.07262411064942,27.5537668478478,27.5661618377699,28.0136643737164,27.5537668478478,27.5661618377699,28.0136643737164,3,28.9608557962924,29.0758954130446,28.916926681309,29.1097105197846,28.9608557962924,29.0758954130446,28.916926681309,29.1097105197846,4
"YHL048W;YML132W;YBR302C;YNL336W;YJR161C;YDL248W","COS8","COS8",-1.46845777131898,2.0450203553577,NA,NA,NA,24.1584724476839,23.6143242812947,23.4236439354936,0,25.5196835187123,25.4013894405628,25.5111711315623,NA,25.5196835187123,25.4013894405628,25.5111711315623,24.3701745470681,3
"YOL141W","PPM2","PPM2",-2.25645221047307,2.04303199468822,NA,NA,NA,24.0053948695472,23.33622937127,22.8837954170616,0,25.4258881675402,25.7076462306053,25.4399021377666,26.0862651831519,25.4258881675402,25.7076462306053,25.4399021377666,26.0862651831519,4
"YPL144W","POC4","POC4",-2.03687167062764,2.04029276314547,NA,NA,NA,23.9424146480539,23.1097402575177,23.0970555391986,0,25.726971888865,25.2927403604828,25.1856712505183,25.4743837756716,25.726971888865,25.2927403604828,25.1856712505183,25.4743837756716,4
"YNL117W","MLS1","MLS1",-1.64122957615295,2.01160202550099,NA,NA,NA,24.1371267049787,23.8023978536538,23.3365340529746,0,25.3444178252343,25.2570989008917,25.3054255492058,25.6927208447561,25.3444178252343,25.2570989008917,25.3054255492058,25.6927208447561,4
"YBR072W","HSP26","HSP26",-1.80356128340847,2.00482851305987,29.8092514788943,29.7487281202721,29.0957212770888,29.8092514788943,29.7487281202721,29.0957212770888,3,31.2673496940511,31.2244078227887,31.3735271311314,31.5538949873363,31.2673496940511,31.2244078227887,31.3735271311314,31.5538949873363,4
"YNL160W","YGP1","YGP1",-1.10806731793469,1.99536916312669,27.7059603158551,27.9162148790423,28.0634769619945,27.7059603158551,27.9162148790423,28.0634769619945,3,29.6370454482405,28.6051603253425,28.971282741641,28.7996502990373,29.6370454482405,28.6051603253425,28.971282741641,28.7996502990373,4
"YOR321W","PMT3","PMT3",-1.77237047426963,1.9759149437218,NA,NA,NA,23.4559200569764,23.681636639258,23.1587092374136,0,NA,25.4518965209755,25.672253322088,25.5572774123886,24.1364092198237,25.4518965209755,25.672253322088,25.5572774123886,3
"YMR240C","CUS1","CUS1",-1.88749439999345,1.96579454245157,NA,NA,NA,23.3590530949033,23.5280134234813,23.6185741985336,0,NA,25.8178504421217,25.7748992350469,25.6243584042968,24.3403904743994,25.8178504421217,25.7748992350469,25.6243584042968,3
"YCR087C-A","YCR087C-A","YCR087C-A",-1.88823971846043,1.94992914396108,NA,NA,NA,23.5649215002708,23.5232157920222,22.7006373889223,0,25.020939597401,24.9905776693646,25.0885314086471,25.5046097733828,25.020939597401,24.9905776693646,25.0885314086471,25.5046097733828,4
"YAL053W","FLC2","FLC2",-2.19327924789241,1.93011386818784,NA,NA,NA,23.636759810206,24.2564710102441,23.218178274314,0,26.1866538069023,25.8266772670009,25.8403574639637,25.7346405800548,26.1866538069023,25.8266772670009,25.8403574639637,25.7346405800548,4
"YER163C","GCG1","GCG1",-1.7450823454849,1.83664051563306,NA,NA,NA,23.960003871052,23.9243598622693,23.7275809473748,0,NA,25.9909887459895,26.0612431217885,25.8615252213326,24.5491652004237,25.9909887459895,26.0612431217885,25.8615252213326,3
"YKR010C","TOF2","TOF2",-1.72685927771008,1.79848680454217,NA,NA,NA,23.4563799794829,23.1347871687238,23.6687754643579,0,26.0183311092178,25.5711191092677,24.6775587896274,NA,26.0183311092178,25.5711191092677,24.6775587896274,24.3203515861469,3
"YMR234W","RNH1","RNH1",-1.48846851426573,1.78238877278341,NA,NA,NA,23.3095372224815,24.0194523042747,24.0538687278239,0,25.761392765109,25.5402004205564,25.5532395256079,NA,25.761392765109,25.5402004205564,25.5532395256079,24.2761856852296,3
"YMR090W","YMR090W","YMR090W",-1.15188607018537,1.74856549999373,26.3043639954165,25.8844612114772,26.4724482799871,26.3043639954165,25.8844612114772,26.4724482799871,3,27.3014712155809,27.3149272647093,27.3908362360276,27.4820075469314,27.3014712155809,27.3149272647093,27.3908362360276,27.4820075469314,4
"YFL029C","CAK1","CAK1",-1.86649449372721,1.74452029556689,NA,NA,NA,23.9354578898417,23.9918296162533,23.0417048651766,0,25.2387056115291,25.5213320563092,25.6603598221881,25.670903646578,25.2387056115291,25.5213320563092,25.6603598221881,25.670903646578,4
"YGR043C","NQM1","NQM1",-1.38049100689387,1.68034056206366,NA,NA,NA,23.7734147954878,23.2579045276257,23.4163690631949,0,NA,25.1989170895266,25.2280259766954,25.1940768966854,23.8311952464126,25.1989170895266,25.2280259766954,25.1940768966854,3
"YJL196C","ELO1","ELO1",-1.86862270484739,1.67852453684445,NA,NA,NA,23.9286575820534,24.361058479778,23.3145428842322,0,25.8911764585776,25.6115271419789,25.8152626914223,25.628869788829,25.8911764585776,25.6115271419789,25.8152626914223,25.628869788829,4
"YLR034C","SMF3","SMF3",-2.68875050398965,1.66074787412176,NA,NA,NA,23.3126701505273,24.2047894020979,23.0150148215251,0,27.3028660504623,26.5296657458017,NA,26.7590065502167,27.3028660504623,26.5296657458017,24.2067628350116,26.7590065502167,3
"YPR107C","YTH1","YTH1",-1.65009496940547,1.65793367014736,NA,NA,NA,23.80639181244,23.4766130693359,23.020692048264,0,NA,25.7607838938569,NA,25.8558822773165,24.4632736124226,25.7607838938569,24.2587026674124,25.8558822773165,2
